"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"SL","2024-09-30","86","-2.43","5.49","Schwellenbach, Spencer",621438,680885,,"ball",,,,,11,"Tyrone Taylor doubles (22) on a sharp line drive to center fielder Michael Harris II.","R","R","R","ATL","NYM","B",,,0,0,2024,"0.25","0.08","-1.04","2.62",,,,0,8,"Top",,,,,,,2.839147370060884,-125.29075113362163,-0.7479166182099475,2.114395387328469,24.47130075996156,-31.38105482693844,"3.38","1.63",,,,"87.3",2361,"7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.5",,,,,,,,56,1,"Slider",3,0,0,3,0,3,0,3,"Standard","Standard",93,"0","0.034",,,,"-0.034",,3,-3,"0.935","0.065",24,30,24,30,3,2,6,1,,0,"2.99","-0.25","-0.25","37.3"
"FF","2024-09-30","96.2","-2.34","5.48","Schwellenbach, Spencer",502110,680885,"field_out","hit_into_play",,,,,14,"J.D. Martinez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","X",6,"ground_ball",3,1,2024,"-0.53","1.04","0.37","1.61",,,,2,7,"Top",111.07,153.19,,,,,8.484216566344818,-139.79205266153647,-7.133823227733315,-8.767284854179392,29.351100177864602,-17.111912318133317,"3.7","1.78",4,"78.9",-20,"97.6",2273,"7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.5",0.06,0.056,"0",1,0,0,2,52,5,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard",224,"0.008","-0.16","75.5","8.6",0.062,"0.16","88.0",3,-3,"0.938","0.062",24,36,24,37,3,2,6,1,,1,"1.42","0.53","0.53","33.7"
"FC","2024-09-30","94","-2.38","5.44","Schwellenbach, Spencer",502110,680885,,"ball",,,,,14,"J.D. Martinez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","B",,,2,1,2024,"-0.02","1","1.01","1.64",,,,2,7,"Top",,,,,,,8.933177436182932,-136.63126045882655,-6.499308998667689,-1.861170231946635,25.52900494768663,-18.467676610091615,"3.65","1.78",,,,"95.7",2395,"7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.51",,,,,,,,52,4,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",210,"0","0.043",,,,"-0.043",,3,-3,"0.938","0.062",24,36,24,37,3,2,6,1,,1,"1.56","0.02","0.02","34.8"
"FC","2024-09-30","94.1","-2.34","5.48","Schwellenbach, Spencer",502110,680885,,"ball",,,,,14,"J.D. Martinez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","B",,,1,1,2024,"0.04","0.86","1.16","1.74",,,,2,7,"Top",,,,,,,9.124482450769861,-136.82925078493338,-6.070205855518692,-1.094880341734086,23.85579165979845,-20.24650879891198,"3.7","1.82",,,,"96",2454,"7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.53",,,,,,,,52,3,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",204,"0","0.023",,,,"-0.023",,3,-3,"0.938","0.062",24,36,24,37,3,2,6,1,,1,"1.67","-0.04","-0.04","29.9"
"FF","2024-09-30","96.1","-2.33","5.47","Schwellenbach, Spencer",502110,680885,,"ball",,,,,14,"J.D. Martinez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","B",,,0,1,2024,"-0.53","1.08","0.75","1.69",,,,2,7,"Top",,,,,,,9.439100253837756,-139.61775527299102,-7.007735423739839,-8.81136837664026,27.429255961461386,-16.681577690109183,"3.65","1.82",,,,"97.6",2311,"7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.54",,,,,,,,52,2,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard",218,"0","0.011",,,,"-0.011",,3,-3,"0.938","0.062",24,36,24,37,3,2,6,1,,1,"1.37","0.53","0.53","30.0"
"FF","2024-09-30","97.2","-2.36","5.52","Schwellenbach, Spencer",502110,680885,,"called_strike",,,,,6,"J.D. Martinez grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","S",,,0,0,2024,"-0.53","1.11","0.31","2.83",,,,2,7,"Top",,,,,,,8.475769636953732,-141.39690506932334,-4.346297921895204,-8.831219594215769,28.910472236062454,-16.37672612988084,"3.65","1.82",,,,"98.8",2339,"7",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.55",,,,,,,,52,1,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard",220,"0","-0.016",,,,"0.016",,3,-3,"0.938","0.062",24,36,24,37,3,2,6,1,,1,"1.28","0.53","0.53","31.4"
"FF","2024-09-30","96.2","-2.41","5.53","Schwellenbach, Spencer",624413,680885,"field_out","hit_into_play",,,,,4,"Pete Alonso lines out sharply to center fielder Michael Harris II.","R","R","R","ATL","NYM","X",8,"line_drive",0,0,2024,"-0.57","1.12","-0.57","2.55",,,,1,7,"Top",102.36,48.62,,,,,6.240494032222472,-140.00773841802356,-4.945028253551201,-8.862552657801816,29.92492985964667,-16.450259287378096,"3.47","1.64",376,"101.1",23,"97.5",2159,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.62",0.566,0.841,"0",1,0,0,6,51,1,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Strategic","Standard",223,"0.014","-0.162","74.7","6.6",1.431,"0.162","101.1",3,-3,"0.924","0.076",24,29,24,30,3,2,6,1,,0,"1.33","0.57","0.57","30.9"
"FC","2024-09-30","94","-2.39","5.6","Schwellenbach, Spencer",607043,680885,"field_out","hit_into_play",,,,,6,"Brandon Nimmo flies out to center fielder Michael Harris II.","R","L","R","ATL","NYM","X",8,"fly_ball",1,1,2024,"-0.06","1.02","0.37","2.72",,,,0,7,"Top",125.27,59.83,,,,,7.366457355839119,-136.77950756381586,-4.128924429372986,-2.2002959040653263,25.771886460361948,-18.597770219910757,"3.49","1.74",345,"89.4",29,"95.6",2366,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.63",0.063,0.082,"0",1,0,0,3,50,3,"Cutter",3,0,0,3,0,3,0,3,"Standard","Standard",208,"0.022","-0.218","73.0","6.7",0.132,"0.218","89.4",3,-3,"0.902","0.098",24,31,24,31,3,2,6,1,,0,"1.53","0.06","-0.06","32.0"
"FC","2024-09-30","92.5","-2.3","5.57","Schwellenbach, Spencer",607043,680885,,"foul",,,,,4,"Brandon Nimmo flies out to center fielder Michael Harris II.","R","L","R","ATL","NYM","S",,,1,0,2024,"0.02","0.97","-0.65","2.51",,,,0,7,"Top",,,,,,,4.217266578580714,-134.73900672575488,-4.247049448097771,-0.491108390492149,24.190732481066764,-19.648303229300662,"3.49","1.74",2,"66.4",-59,"94.3",2325,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.61",,,,,,,,50,2,"Cutter",3,0,0,3,0,3,0,3,"Strategic","Standard",203,"0","-0.044","67.0","7.4",,"0.044","88.0",3,-3,"0.902","0.098",24,31,24,31,3,2,6,1,,0,"1.65","-0.02","0.02","31.7"
"CU","2024-09-30","80.7","-2.41","5.28","Schwellenbach, Spencer",607043,680885,,"ball",,,,,14,"Brandon Nimmo flies out to center fielder Michael Harris II.","R","L","R","ATL","NYM","B",,,0,0,2024,"0.64","-0.73","0.7","0.61",,,,0,7,"Top",,,,,,,5.760703684099575,-117.49853402614632,-2.3987339021623417,4.883570761425426,21.3505579579441,-38.7115284534993,"3.31","1.69",,,,"81.9",2430,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.56",,,,,,,,50,1,"Curveball",3,0,0,3,0,3,0,3,"Standard","Standard",46,"0","0.034",,,,"-0.034",,3,-3,"0.902","0.098",24,31,24,31,3,2,6,1,,0,"4.21","-0.64","0.64","31.9"
"FC","2024-09-30","92.9","-2.46","5.47","Schwellenbach, Spencer",668901,680885,"field_out","hit_into_play",,,,,4,"Mark Vientos grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","X",6,"ground_ball",1,1,2024,"0.04","0.75","-0.64","2.96",,,,2,6,"Top",104.91,152.18,,,,,4.631421407546331,-135.42549202833303,-2.401021406608488,-0.36256341746983645,25.95749400253298,-22.55782779013463,"3.63","1.69",7,"91.1",-21,"94.3",2329,"6.7",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.78",0.083,0.066,"0",1,0,0,2,43,3,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",196,"0.012","-0.094","72.7","6.9",0.092,"0.094","91.1",2,-2,"0.84","0.16",24,24,24,25,3,2,6,1,,1,"1.85","-0.04","-0.04","27.7"
"FC","2024-09-30","94.1","-2.45","5.44","Schwellenbach, Spencer",668901,680885,,"foul",,,,,8,"Mark Vientos grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","S",,,1,0,2024,"0.29","0.99","-0.04","2.07",,,,2,6,"Top",,,,,,,5.651186967253836,-137.0604799869411,-5.360589859741522,2.627042614841291,27.128828100060588,-18.653603722402952,"3.63","1.69",190,"74",59,"95.5",2436,"6.8",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.7",,,,,,,,43,2,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",199,"0","-0.02","64.5","7.7",,"0.02","88.0",2,-2,"0.84","0.16",24,24,24,25,3,2,6,1,,1,"1.55","-0.29","-0.29","29.2"
"CU","2024-09-30","81.8","-2.45","5.32","Schwellenbach, Spencer",668901,680885,,"ball",,,,,2,"Mark Vientos grounds out, shortstop Orlando Arcia to first baseman Matt Olson.","R","R","R","ATL","NYM","B",,,0,0,2024,"0.4","-0.68","-0.1","3.52",,,,2,6,"Top",,,,,,,4.584831329216006,-119.07041477473348,3.8317839430070304,2.943761263521893,21.66400371987141,-39.53845790474316,"3.58","1.64",,,,"83",2308,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.58",,,,,,,,43,1,"Curveball",2,0,0,2,0,2,0,2,"Standard","Standard",52,"0","0.015",,,,"-0.015",,2,-2,"0.84","0.16",24,24,24,25,3,2,6,1,,1,"4.06","-0.4","-0.4","31.2"
"FC","2024-09-30","93.9","-2.3","5.49","Schwellenbach, Spencer",578428,680885,"field_out","hit_into_play",,,,,9,"Jose Iglesias grounds out, second baseman Ozzie Albies to first baseman Matt Olson.","R","R","R","ATL","NYM","X",4,"ground_ball",1,1,2024,"-0.12","0.56","0.76","1.89",,,,1,6,"Top",152.18,148.79,,,,,8.260452371253727,-136.69516457332494,-4.975465157860817,-3.1060732236684623,25.6578636823998,-24.244843871715165,"3.22","1.45",6,"99.8",-17,"95.4",2308,"6.8",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.68",0.169,0.184,"0",1,0,0,2,42,3,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",199,"0.021","-0.154","65.4","6.6",0.169,"0.154","99.8",2,-2,"0.819","0.181",24,34,24,34,3,2,6,1,,0,"1.99","0.12","0.12","30.8"
"FC","2024-09-30","94.1","-2.33","5.46","Schwellenbach, Spencer",578428,680885,,"ball",,,,,14,"Jose Iglesias grounds out, second baseman Ozzie Albies to first baseman Matt Olson.","R","R","R","ATL","NYM","B",,,0,1,2024,"0.02","0.79","1.33","1.99",,,,1,6,"Top",,,,,,,9.567197211035957,-136.8811622886313,-5.174935508381636,-1.5749706869472575,25.439089341020424,-21.239545037050718,"3.13","1.4",,,,"95.8",2309,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.58",,,,,,,,42,2,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",215,"0","0.015",,,,"-0.015",,2,-2,"0.819","0.181",24,34,24,34,3,2,6,1,,0,"1.75","-0.02","-0.02","28.5"
"CU","2024-09-30","82.3","-2.4","5.33","Schwellenbach, Spencer",578428,680885,,"called_strike",,,,,1,"Jose Iglesias grounds out, second baseman Ozzie Albies to first baseman Matt Olson.","R","R","R","ATL","NYM","S",,,0,0,2024,"0.43","-0.31","-0.5","2.9",,,,1,6,"Top",,,,,,,3.5084287041489666,-119.87954934137774,1.6090194613213347,3.5231322711764133,21.598370242335786,-35.70422773487204,"3.04","1.4",,,,"83.6",2338,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.57",,,,,,,,42,1,"Curveball",2,0,0,2,0,2,0,2,"Standard","Standard",56,"0","-0.023",,,,"0.023",,2,-2,"0.819","0.181",24,34,24,34,3,2,6,1,,0,"3.65","-0.43","-0.43","30.4"
"CU","2024-09-30","81","-2.31","5.41","Schwellenbach, Spencer",596019,680885,"field_out","hit_into_play",,,,,8,"Francisco Lindor grounds out, second baseman Ozzie Albies to first baseman Matt Olson.","R","L","R","ATL","NYM","X",4,"ground_ball",0,0,2024,"0.7","-0.72","-0.03","2.01",,,,0,6,"Top",156.95,148.94,,,,,3.768531629263273,-118.01699563202706,0.3697263179324515,5.905881573060725,21.358222179669802,-39.18506792029304,"3.33","1.52",39,"98.6",-1,"81.9",2353,"6.7",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.81",0.371,0.35,"0",1,0,0,2,41,1,"Curveball",2,0,0,2,0,2,0,2,"Infield shade","Standard",50,"0.03","-0.228","77.9","7.8",0.407,"0.228","98.6",2,-2,"0.789","0.211",24,30,24,31,3,2,6,1,,1,"4.17","-0.7","0.7","33.3"
